wabs(1) * (xaped(1) + xaped(2))
 idx  param              tie-to  freeze         value         min         max
  1  wabs(1).nH              0     0             2.00           0          10  10^22
  2  xaped(1).norm1          0     0      0.001937846      0.0001        0.05  
  3  xaped(1).norm2          0     0      0.002224109      0.0001        0.05  
  4  xaped(1).norm3          0     0      0.007810709      0.0001        0.05  
  5  xaped(1).norm4          0     0       0.04260732      0.0001        0.05  
  6  xaped(1).temperature1   0     1          6300000           0           0  
  7  xaped(1).temperature2   0     1         1.26e+07           0           0  
  8  xaped(1).temperature3   0     1         3.16e+07           0           0  
  9  xaped(1).temperature4   0     1         1.26e+08           0           0  
 10  xaped(1).density        0     1            1e+14           0           0  
 11  xaped(1).vturb          0     0         1794.173         500        4000  
 12  xaped(1).redshift       0     0       0.03592231       -0.02        0.05  
 13  xaped(1).metal_abund    0     0         3.286086         0.1          15  
 14  xaped(1).abund_Ni       0     0         30.16597         0.1         100  
 15  xaped(2).norm1          0     0     0.0001000104      0.0001        0.01  
 16  xaped(2).norm2          0     0     0.0007131103      0.0001        0.01  
 17  xaped(2).norm3          0     0     0.0001000037      0.0001        0.01  
 18  xaped(2).norm4          0     0             0.01      0.0001        0.05  
 19  xaped(2).temperature1   6     1          6300000           0           0  
 20  xaped(2).temperature2   7     1         1.26e+07           0           0  
 21  xaped(2).temperature3   8     1         3.16e+07           0           0  
 22  xaped(2).temperature4   9     1         1.26e+08           0           0  
 23  xaped(2).density       10     1            1e+14           0           0  
 24  xaped(2).vturb         11     0         1794.173         500        4000  
 25  xaped(2).redshift       0     0       0.08533424       -0.01         0.1  
 26  xaped(2).metal_abund   13     0         3.286086         0.1          15  
 27  xaped(2).abund_Ni      14     0         30.16597         0.1         100  
